relpath	language	size_bytes	mtime_utc	sha256	purpose	inputs	outputs	deps/tools	notes
src/legacy/ubuntu/authoritative_files/compute_sequencing_metrics.py	python	14662	2026-02-14T20:38:07.668858+00:00	8e659f15463c67a4c3b4f56d163122f83c158f6d6f13fd05b08eacf478840711					
src/legacy/ubuntu/authoritative_files/validate_manifest.sh	bash	3893	2026-02-07T11:44:27.575121+00:00	3d7aac8ed9c6721c199d11decdcdedfbe503d90fb73ca53d318f687e41b6bc9c					
src/legacy/ubuntu/code/2024-03-06_summarise_VCF.sh	bash	970	2024-03-06T11:11:35.804593+00:00	fa39633fe3b35a9dcdd0ef50134da53ee582303abe8cc61e847f272f593cc74d					
src/legacy/ubuntu/code/2024-10-13_D178N_allele_count/2024-10-13_D178N_allele_count.sh	bash	956	2024-10-13T17:13:46.844298+00:00	fb266095701acb4547e81be3773fe7a29e03b9699f2d389ffcc734c5d966a640					
src/legacy/ubuntu/code/2024-10-13_D178N_allele_count/2024-10-13_D178N_summarise_VCF.sh	bash	1158	2024-10-13T15:14:42.114695+00:00	d8a43ceb9ef3c80e6fcbd2285534e81b6a1e3d1a363b4e85b937ee6d39d67a10					
src/legacy/ubuntu/code/2024-10-13_E200K_allele_count/2024-10-13_E200K_summarise_VCF_replicate.sh	bash	1192	2024-10-13T13:34:22.751088+00:00	b38dd87b8a86d8298deb0ceb55ed4f3a9604695ac591191257c16981f0c08c07					
src/legacy/ubuntu/code/2024-10-13_E200K_allele_count/2024-10-13_replicate_E200K.sh	bash	756	2024-10-13T13:33:15.069238+00:00	f50da7b9068f28f0fb65a00c84bcbc6b61d756617d22dbd62b38347cda56ab56					
src/legacy/ubuntu/code/2024-10-13_M129V/2024-10-13_replicate_M129V.sh	bash	746	2024-10-13T19:00:17.508340+00:00	77ec7912c0c77b0d919d1ae9a72b6ef92138e02a9369142ae1a566d8305dae63					
src/legacy/ubuntu/code/2024-10-13_all_mutation_counter/2024-10-13_all_mutation_counter.sh	bash	1291	2024-10-13T17:53:00.901623+00:00	520e775dd64753818046af0f3b323a3123b14c68ddbaaaf6104fac80827311a1					
src/legacy/ubuntu/code/2024-10-13_all_mutation_counter/2024-10-13_summarise_all_VCF.sh	bash	2489	2024-10-13T20:57:39.961194+00:00	4ff013d340f164357183a7558c6908ed5b7d7dcf4d5a0dc842c7c7de4af545cc					
src/legacy/ubuntu/code/2024-10-13_summarise_VCF_replicate.sh	bash	1192	2024-10-13T13:26:32.042805+00:00	b38dd87b8a86d8298deb0ceb55ed4f3a9604695ac591191257c16981f0c08c07					
src/legacy/ubuntu/code/2025-02-07_aggressive_pipeline/2025-02-07_CJD_16_samples_bwa.sh	bash	7803	2025-02-07T17:55:53.476280+00:00	08aca0fdd680bcec56680f55a661fb46dcca8636404d20d815b07b92670afcbd					
src/legacy/ubuntu/code/2025-02-07_aggressive_pipeline/2025-02-07_CJD_8_samples_bwa.sh	bash	6324	2025-02-07T17:44:50.538967+00:00	2b96173ddaaf9fbdfc3d516a25f7cb6b4db40a4a5ba186f9fcfdefaa205b85de					
src/legacy/ubuntu/code/2025-02-07_aggressive_pipeline/2025-02-07_dilutions_bwa.sh	bash	6359	2025-02-07T17:33:40.776352+00:00	4418a0f30785418fa4c0cb0fbcf320fccf327e8c93507f977144ad632e0ba1d4					
src/legacy/ubuntu/code/2025-02-07_aggressive_pipeline/2025-02-07_first_CJD_seq.sh	bash	6441	2025-02-07T17:49:49.746005+00:00	5ea2a7e9810c2e84bd800be94eaff0a38e10fcde5645051725df581cf86804e1					
src/legacy/ubuntu/code/2025-02-07_aggressive_pipeline/2025-02-08_Ctrl4_Ctrl7_bwa.sh	bash	5184	2025-02-08T09:13:21.910561+00:00	f1346b88faf89328e2decd67251b6671b14a945f64ce84ebceeda860b0aaa44e					
src/legacy/ubuntu/code/2025-02-07_aggressive_pipeline/pipeline_aggressive.sh	bash	5141	2025-02-07T13:23:11.427619+00:00	28c3d0a99546796fdfa8f2841aaf1638b2c05e6ff62322e390a70ae00f8dbf53					
src/legacy/ubuntu/code/2025-02-07_aggressive_pipeline/pipeline_aggressive_using_TSV.sh	bash	3447	2025-02-07T13:06:36.188051+00:00	cff43e46c6e58082c277a8d83162c02c7253ec0f9bd677cae4dd93f3d97185e4					
src/legacy/ubuntu/code/2025-02-07_aggressive_pipeline/run_all_bwa.sh	bash	412	2025-02-07T18:00:50.846881+00:00	3bf4e584bad4fd40591f1c801cb7d9ee8570de62ed71b8934c0d6b32c9297765					
src/legacy/ubuntu/code/2025-02-08_mapping_and_bam_quality/flagstat.sh	bash	309	2025-02-08T13:35:21.048150+00:00	a663e89fecc7f2bc7794178b7611d6422c3323e74dc6ff18bf9ae5d7e0d04bd7					
src/legacy/ubuntu/code/2025-02-10_bwa_force_mutect/runForceMutect_bwa.sh	bash	1780	2025-03-15T13:06:51.772855+00:00	8dd395c06fcb7ff7e386bc917b7469541cadda02591edc8ec654d1fe0bef6351					
src/legacy/ubuntu/code/2025-02-10_dilutions_bwa_MF_loop/move_dilution_bwa_files_for_MF.sh	bash	1880	2025-02-10T15:45:27.387947+00:00	259f83526771838cb16149b40f571705474b590256b629902c6c5c882cd6fede					
src/legacy/ubuntu/code/2025-02-10_dilutions_bwa_MF_loop/run_MF_loop_bwa_dilutions.sh	bash	3601	2025-02-10T15:49:31.810861+00:00	9079a5b92094cfccac1bf2a02e6591fba29c3084f6c32a6e54e48c7764a2ae73					
src/legacy/ubuntu/code/2025-02-10_dilutions_original_MF_loop/MF_loop_dilutions_original.sh	bash	3769	2025-02-10T16:31:59.600815+00:00	bae975d0d863d30d70d76f537d24fd76fccbf2e9bff81e14efc094b2a79c89d6					
src/legacy/ubuntu/code/2025-02-10_dilutions_original_MF_loop/move_dilutions_original.sh	bash	2270	2025-02-10T16:24:03.035498+00:00	3f6b8c891468a7133efd0102e57d27bbae6ba4ddbb7b13ab2046d84a514c6357					
src/legacy/ubuntu/code/2025-02-10_samples_bwa_MF_loop/clear_up.sh	bash	121	2025-02-10T14:39:28.570564+00:00	379b5b04bdb688d9e530cd9a37df113fbf1e3770ee02e82b58ec612cff69df4f					
